,text,hashtags,Sentiment
0,#COVAX #ThePeoplesVaccine #COVID19 #Moderna #SputnikV #PfizerBioNTech #Pfizervaccine #Sinovac #Sinopharm… https://t.co/SkemQRqIa7,"['COVAX', 'ThePeoplesVaccine', 'COVID19', 'Moderna', 'SputnikV', 'PfizerBioNTech', 'Pfizervaccine', 'Sinovac', 'Sinopharm']",Negative
1,"DO NOT TAKE THE VACCINE.
https://t.co/MnqAyck4tO

#SputnikV #PfizerBioNTech #Oxford #AstraZeneca #Moderna #Sinovac #Sinopharm","['SputnikV', 'PfizerBioNTech', 'Oxford', 'AstraZeneca', 'Moderna', 'Sinovac', 'Sinopharm']",Negative
2,"DO NOT TAKE THE VACCINE.
https://t.co/IdgDC0zySF

#SputnikV #PfizerBioNTech #Oxford #AstraZeneca #Moderna #Sinovac #Sinopharm","['SputnikV', 'PfizerBioNTech', 'Oxford', 'AstraZeneca', 'Moderna', 'Sinovac', 'Sinopharm']",Negative
3,Courteous checking by @pfizer #PfizerBioNTech @moderna_tx #Sinopharm gracious and CRITICAL over our below discovery… https://t.co/PHxSRZ8NGX,"['PfizerBioNTech', 'Sinopharm']",Positive
4,@JassimAlseddiqi Which one #sinopharm or #PfizerBioNTech  💉 ?,"['sinopharm', 'PfizerBioNTech']",Negative
5,@shamara4w #Dubai has rolled out an effective program a month ago #PfizerBioNTech &amp; #Sinopharm are available for Na… https://t.co/gGbvx794B3,"['Dubai', 'PfizerBioNTech', 'Sinopharm']",Positive
6,"First batch (600,000) of 1m doses of China-donated #Sinopharm #CovidVaccine arrives in Phnom Penh. PM Hun Sen and C… https://t.co/AzhTsrLrHG","['Sinopharm', 'CovidVaccine']",Positive
7,"The first batch of COVID-19 vaccines to #Cambodia donated by #China's #Sinopharm arrived in Phnom Penh on Sun.
The… https://t.co/576WUbdMs7","['Cambodia', 'China', 'Sinopharm']",Positive
8,"With China's #Sinopharm proven to be an ineffective vaccine, I hope one of our neighbors might feel the tinge about… https://t.co/bdcAfMwrkB",['Sinopharm'],Negative
9,First batch of #Sinopharm vaccine arrive in Phnom Penh international airport from China. The vaccination  program w… https://t.co/TXpBxYKEh4,['Sinopharm'],Positive
10,"#Zimbabwe will receive 200,000 free doses of China's #Sinopharm #COVID19 #vaccine, thanks to a #donation from the C… https://t.co/vCnMppUfp7","['Zimbabwe', 'Sinopharm', 'COVID19', 'vaccine', 'donation']",Positive
11,Sagasti says his gov't secured 1 mln vaccine doses from #Sinopharm for delivery in Feb. The deal is part of a large… https://t.co/GDB2mLsNQj,['Sinopharm'],Negative
12,"Two #COVID-19 #vaccines from Chinese companies, including #Sinopharm, triggered immunity against a highly transmiss… https://t.co/uto0XInmNG","['COVID', 'vaccines', 'Sinopharm']",Positive
13,Peruvian President Francisco Sagasti will be the first to receive a #COVID19 #vaccine developed by #Sinopharm in hi… https://t.co/GwQu1ncQUa,"['COVID19', 'vaccine', 'Sinopharm']",Positive
14,"Tested #COVID19 despite of the first dose of #vaccine #Sinopharm  . After that, I had skin rush which i had to take… https://t.co/idhFYyuehJ","['COVID19', 'vaccine', 'Sinopharm']",Positive
15,"First Sinopharm Covid-19 vaccines arrive in Macau

#vaccine #macau #pandemic #sinopharm #china
 https://t.co/VpfU7c03Lt","['vaccine', 'macau', 'pandemic', 'sinopharm', 'china']",Positive
16,The first batch of China's #Sinopharm vaccines is due to arrive in #Cambodia on Sunday to help launch an inoculatio… https://t.co/KQpZw3dCcr,"['Sinopharm', 'Cambodia']",Positive
17,"China's #Macao Special Administrative Region (SAR) on Saturday received 100,000 doses of #Sinopharm’s COVID-19… https://t.co/zVdlH2nr76","['Macao', 'Sinopharm']",Positive
18,China's #Macao SAR has received its first batch of coronavirus vaccines from #Sinopharm. Medical staff and high-ris… https://t.co/NuK8VCFsm8,"['Macao', 'Sinopharm']",Positive
19,#Sinovac and #Sinopharm's COVID-19 vaccines are at the very advanced stage of the WHO's reviews for emergency use l… https://t.co/KJAAs356im,"['Sinovac', 'Sinopharm']",Positive
20,"China-donated #Sinopharm COVID-19 #vaccines arrive in #Laos.
https://t.co/fNoDf27nwA https://t.co/tI4lBACrVx","['Sinopharm', 'vaccines', 'Laos']",Negative
21,A batch of China-donated #Sinopharm vaccine has arrived in #Laos. China says Laos is now a priority for aid with va… https://t.co/C7eG8Bqb4R,"['Sinopharm', 'Laos']",Negative
