,text,hashtags,Sentiment
0,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,"['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']",Negative
1,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix,"['Vaccine', 'TrumpVaccine', 'AstraZeneca', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerCovidVaccine', 'Pfizer']",Negative
2,WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca… https://t.co/4I7rhvI5es,"['PCRGATE', 'Condemic', 'BillGatesIsNotADoctor', 'PfizerBioNTech', 'Moderna', 'AstraZeneca']",Negative
3,Good news!  #PfizerBioNTech vaccines arrived ... other vaccines like #Moderna and #AstraZeneca are also coming. https://t.co/e8wxDoutiw,"['PfizerBioNTech', 'Moderna', 'AstraZeneca']",Positive
4,#vaccine #PfizerBioNTech #Oxford_AstraZeneca #BharatBiotech #SputnikV Most of the companies have submitted applicat… https://t.co/1rQrfvSEtU,"['vaccine', 'PfizerBioNTech', 'Oxford_AstraZeneca', 'BharatBiotech', 'SputnikV']",Positive
5,"#AstraZeneca to buy pharmaceutical firm #Alexion for $39 billion

#COVID19vaccine #Pfizer #Pfizervaccine… https://t.co/zl6gqIvpGW","['AstraZeneca', 'Alexion', 'COVID19vaccine', 'Pfizer', 'Pfizervaccine']",Negative
6,"#AstraZeneca to buy pharmaceutical firm #Alexion for $39 billion
https://t.co/c5r0xaDMS1
#COVID19vaccine #Pfizer… https://t.co/l99JiyQWbj","['AstraZeneca', 'Alexion', 'COVID19vaccine', 'Pfizer']",Negative
7,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/DxBnRId3i1,"['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']",Negative
8,😂😂😂 New strain of #COVID19 #COVID20 #COVID21 #UK #Pfizer #PfizerBioNTech #AstraZeneca #Moderna #vaccination so what… https://t.co/avGwALm8y1,"['COVID19', 'COVID20', 'COVID21', 'UK', 'Pfizer', 'PfizerBioNTech', 'AstraZeneca', 'Moderna', 'vaccination']",Positive
9,Prix vaccins anti-Covid (#Europe ) #AstraZeneca 1.78€ #johnson&amp;johnson $8.50 #sanofiglaxosmithkline €7.56… https://t.co/134Yd2LdTb,"['Europe', 'AstraZeneca', 'johnson', 'sanofiglaxosmithkline']",Negative
10,@LBC @mrjamesob UK has already run out of the handful of #PfizerBioNTech vaccine it received. The #AstraZeneca vacc… https://t.co/uS00USSKaX,"['PfizerBioNTech', 'AstraZeneca']",Negative
11,"#AstraZeneca vaccine by the Oxford University, 
#Moderna, 
#PfizerBiontech, 
#SputnikV, by Gamaleya vaccines have b… https://t.co/gNQxHFCUbv","['AstraZeneca', 'Moderna', 'PfizerBiontech', 'SputnikV']",Negative
12,"#COVID19 #Vaccine #AstraZenecaOxfordJenner
#VaccineShouldQmarkBeEffective
Comment: 12222020
AstraZeneca has to chec… https://t.co/tQnWZxn9lB","['COVID19', 'Vaccine', 'AstraZenecaOxfordJenner', 'VaccineShouldQmarkBeEffective']",Negative
13,Professor Eric Caumes says; 'he trusts #AstraZeneca &amp; Chinese developed #Covid19 vaccines but has reservations agai… https://t.co/qo8SMxWVbk,"['AstraZeneca', 'Covid19']",Negative
14,#Egypt ordered 20 mln doses of #PfizerBioNTech and 30 mln doses of #AstraZeneca #oxford #COVID19 Vac... via… https://t.co/DCSbhkOml5,"['Egypt', 'PfizerBioNTech', 'AstraZeneca', 'oxford', 'COVID19']",Negative
15,"#CoronaVaccine pre #orders

#AstraZeneca #oxfordvaccine 
#Johnson 
#GSK #Sanofi 
#PfizerBioNTech 
#Moderna 
Accordi… https://t.co/XdAUzPakkk","['CoronaVaccine', 'orders', 'AstraZeneca', 'oxfordvaccine', 'Johnson', 'GSK', 'Sanofi', 'PfizerBioNTech', 'Moderna']",Negative
16,#AstraZeneca #OxfordVaccine 🇬🇧 leads 🌎 incl 🇺🇸 🇪🇺 to #PfizerBioNTech 🇬🇧 is banned from parts of 🌎  #eucountries… https://t.co/AAzO9yXrjr,"['AstraZeneca', 'OxfordVaccine', 'PfizerBioNTech', 'eucountries']",Negative
17,"So why do they call it the #oxfordvaccine, when it’s developed by Oxford &amp; #AstraZeneca , but #Pfizer  vaccine, whe… https://t.co/htn9jGUHIH","['oxfordvaccine', 'AstraZeneca', 'Pfizer']",Positive
18,"So it begins. #VaccineDay #PfizerBioNTech #Moderna #AstraZeneca #Europe #EU #Hope
https://t.co/Qz7wPAE1AO","['VaccineDay', 'PfizerBioNTech', 'Moderna', 'AstraZeneca', 'Europe', 'EU', 'Hope']",Negative
19,95 is the the new 💯 #PfizerBioNTech #Moderna and now #AstraZeneca 👏🏻,"['PfizerBioNTech', 'Moderna', 'AstraZeneca']",Positive
20,Brilliant news about the #OxfordAstrazeneca vaccine being approved. Along with the #PfizerBioNTech - Now we just ne… https://t.co/JJpCYMJnDt,"['OxfordAstrazeneca', 'PfizerBioNTech']",Positive
21,Hope  #COVID19vaccines #oxfordastrazeneca #PfizerBioNTech https://t.co/B4NKJKtjQh,"['COVID19vaccines', 'oxfordastrazeneca', 'PfizerBioNTech']",Negative
22,"DO NOT TAKE THE VACCINE.
https://t.co/MnqAyck4tO

#SputnikV #PfizerBioNTech #Oxford #AstraZeneca #Moderna #Sinovac #Sinopharm","['SputnikV', 'PfizerBioNTech', 'Oxford', 'AstraZeneca', 'Moderna', 'Sinovac', 'Sinopharm']",Negative
23,"DO NOT TAKE THE VACCINE.
https://t.co/IdgDC0zySF

#SputnikV #PfizerBioNTech #Oxford #AstraZeneca #Moderna #Sinovac #Sinopharm","['SputnikV', 'PfizerBioNTech', 'Oxford', 'AstraZeneca', 'Moderna', 'Sinovac', 'Sinopharm']",Negative
24,"Why on earth is #oxfordastrazeneca vaccine rollout not starting until next week?
I've 4 friends, (3 former nurses 1… https://t.co/a9ifc55Dsw",['oxfordastrazeneca'],Negative
25,"#COVID19: How does #AstraZeneca's vaccine compare with #PfizerBioNTech?
https://t.co/SWspbijqfH","['COVID19', 'AstraZeneca', 'PfizerBioNTech']",Negative
26,"May all your efforts go in Vein !

#AstraZeneca
#PfizerBioNTech 
#Covaxin 
#covishield 
#Sputnik
#seruminstitute 
#CoronaVaccine","['AstraZeneca', 'PfizerBioNTech', 'Covaxin', 'covishield', 'Sputnik', 'seruminstitute', 'CoronaVaccine']",Negative
27,"[#COVID19 | #vaccines]
""The #AstraZeneca vaccine is much cheaper than those developed by other companies and can be… https://t.co/vB4WxsJ1un","['COVID19', 'vaccines', 'AstraZeneca']",Positive
28,#AstraZeneca and #PfizerBioNTech AstraZeneca is much more easy to distribute. You can keep it in your home fridge a… https://t.co/MpkDswjmfn,"['AstraZeneca', 'PfizerBioNTech']",Positive
29,After a successful #PhaseIII trial like we've seen with #AstraZeneca #PfizerBioNTech #modernavaccine which are all… https://t.co/WKQcb068xP,"['PhaseIII', 'AstraZeneca', 'PfizerBioNTech', 'modernavaccine']",Positive
30,Oxford + #AstraZeneca #vaccine approved by #UK regulator. Advantages of #oxfordvaccine -#astrazenecavaccine : lower… https://t.co/LchvSYycIz,"['AstraZeneca', 'vaccine', 'UK', 'oxfordvaccine', 'astrazenecavaccine']",Negative
31,Great news about the #OxfordAstraZeneca vaccine getting UK approval. Huge development nationally and internationall… https://t.co/zIvTIPAJf4,['OxfordAstraZeneca'],Positive
32,#AstraZeneca vaccine is going to have a communications nightmare due to their rush under government pressure to rel… https://t.co/qyt1Vt3Bga,['AstraZeneca'],Negative
33,#Covid19 #Oxford-#AstraZeneca #coronavirus #vaccine approved for use in UK. It can be stored in a standard fridge u… https://t.co/OuqDK9oVXS,"['Covid19', 'Oxford', 'AstraZeneca', 'coronavirus', 'vaccine']",Negative
34,Happy New Year folks... #2021 #laurentperrier #novid21 #pfizerbiontech #oxfordastrazeneca https://t.co/BAPEJV6ayC,"['laurentperrier', 'novid21', 'pfizerbiontech', 'oxfordastrazeneca']",Positive
35,"#OxfordAstraZeneca #PfizerBioNTech  vaccines rollout plan changed.

Pfizer/BioNTech said that their vaccine was not… https://t.co/fR4pQ5QTqF","['OxfordAstraZeneca', 'PfizerBioNTech']",Negative
36,""" #Happy and #Safer New Year 2021 ! "" 🐌...
#VaccinesWeNeed 💉
#Moderna 💊
#PfizerBioNTech 🧬
#AstraZeneca 🧪
#etc 🔬… https://t.co/rhw7TX7A5Q","['Happy', 'Safer', 'VaccinesWeNeed', 'Moderna', 'PfizerBioNTech', 'AstraZeneca', 'etc']",Positive
37,So so true..... 😅   #lifelonglearning #oxfordastrazeneca #PfizerBioNTech #Moderna https://t.co/QF72nRDZUo,"['lifelonglearning', 'oxfordastrazeneca', 'PfizerBioNTech', 'Moderna']",Positive
38,The main differences between #PfizerBioNTech #vaccine and #AstraZeneca #oxfordvaccine  https://t.co/jbtwY5c8Kc,"['PfizerBioNTech', 'vaccine', 'AstraZeneca', 'oxfordvaccine']",Positive
39,"#OxfordAstraZeneca vaccine rollout plan changed following approval 

Why start fiddling with timeline for 2nd dose… https://t.co/ladfZg3SCS",['OxfordAstraZeneca'],Negative
40,Concerning - Questions hang over UK's rollout of #oxfordastrazeneca /AstraZeneca jab - and #PfizerBioNTech #vaccine… https://t.co/K9SOogne7u,"['oxfordastrazeneca', 'PfizerBioNTech', 'vaccine']",Negative
41,"@zerohedge Very Good! Everybody is completely free to chose from at least three great vaccines:
#AstraZeneca for th… https://t.co/ae9V03yvEb",['AstraZeneca'],Positive
42,Interesting to see 41.7% of people who voted said they would take the #AstraZeneca vaccine yet they have no informa… https://t.co/GpU4PJNvEM,['AstraZeneca'],Positive
