,text,hashtags,Sentiment
0,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,"['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']",Negative
1,#vaccine #PfizerBioNTech #Oxford_AstraZeneca #BharatBiotech #SputnikV Most of the companies have submitted applicat… https://t.co/1rQrfvSEtU,"['vaccine', 'PfizerBioNTech', 'Oxford_AstraZeneca', 'BharatBiotech', 'SputnikV']",Positive
2,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/DxBnRId3i1,"['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']",Negative
3,Did someone say there was #SputnikV first? &amp; maybe some in say #communistchina. #russia #borisjohnson… https://t.co/IEpMhppoxE,"['SputnikV', 'communistchina', 'russia', 'borisjohnson']",Positive
4,#COVAX #ThePeoplesVaccine #COVID19 #Moderna #SputnikV #PfizerBioNTech #Pfizervaccine #Sinovac #Sinopharm… https://t.co/SkemQRqIa7,"['COVAX', 'ThePeoplesVaccine', 'COVID19', 'Moderna', 'SputnikV', 'PfizerBioNTech', 'Pfizervaccine', 'Sinovac', 'Sinopharm']",Negative
5,"@JustinSandefur Refusing #SputnikV doesn’t make you #antivax, to be honest. Development was rushed &amp; a phase 3 test… https://t.co/t7dtCCb52g","['SputnikV', 'antivax']",Positive
6,"#AstraZeneca vaccine by the Oxford University, 
#Moderna, 
#PfizerBiontech, 
#SputnikV, by Gamaleya vaccines have b… https://t.co/gNQxHFCUbv","['AstraZeneca', 'Moderna', 'PfizerBiontech', 'SputnikV']",Negative
7,"@EricTopol Any guarantee that #PfizerBioNTech, #Moderna &amp; #SputnikV did not favourably manipulate results?[This com… https://t.co/fYLM8GVT4s","['PfizerBioNTech', 'Moderna', 'SputnikV']",Negative
8,"At a time when #PfizerBioNTech, #SputnikV,  #Moderna is already used 4 mass inoculation in other countries (poor, d… https://t.co/9MzgIajJCV","['PfizerBioNTech', 'SputnikV', 'Moderna']",Negative
9,"DO NOT TAKE THE VACCINE.
https://t.co/MnqAyck4tO

#SputnikV #PfizerBioNTech #Oxford #AstraZeneca #Moderna #Sinovac #Sinopharm","['SputnikV', 'PfizerBioNTech', 'Oxford', 'AstraZeneca', 'Moderna', 'Sinovac', 'Sinopharm']",Negative
